,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
height_wo_shoes,0.3785701114716077,0.15001220414214977,0.06399708371623355,-0.04717187710787155,-0.060834929584944554,-0.25071701700131305,-0.04625807592205255,-0.07547590505665495,-0.03219041221426038,0.06255640616673849,-0.17072669641439228,-0.23301259733190885,0.10456160999125279,-0.04131540281455909,-0.22456908302030265,-0.5044088234582248,-0.5895525714397437
height_w_shoes,0.35872516392086257,0.14972194840627379,0.06631493183864802,-0.059962257785049954,-0.06283773656461016,-0.25817444055058336,-0.03610451263633811,-0.06675122514697977,-0.06299699497194236,0.05114819800520688,-0.21149165050231183,-0.5097530581104447,0.2632774285668876,-0.033109170347417595,0.2792110602481947,0.524205899617293,0.17384201643513555
weight,0.34721059962735235,0.12867277009975342,0.06847958246954411,0.20290305841964168,0.19008300296257227,-0.012561773132860062,0.030811048280036547,0.13335384547961107,-0.04415442397300535,-0.01524412681676238,0.026776687752314576,0.5878854760819074,0.6318698179413004,0.09198552136230076,0.041267239827757374,-0.00013598313233718036,0.06383550232032276
wingspan,0.34791080110247236,0.22557511380496992,0.09618168510231331,-0.08623298616526616,-0.07835290913511808,-0.13181727187770803,0.006575662363491417,-0.018270131894844784,0.017341811080628013,-0.05053183609744159,0.1925070368415225,0.39587050065873136,-0.5579118480679637,0.02950974807287992,0.23619321877352326,0.3353911124642907,-0.3323512926242656
standing_reach,0.38574326622940414,0.11693607652274389,0.05246280954737656,-0.07405907243736326,-0.06752774164729093,-0.20012557712876483,-0.06801083375372419,-0.1311758933314482,-0.06168358316382481,-0.1410654994890521,-0.007700090187793918,0.05907462959757648,-0.29308122832999567,0.03084637074751197,-0.2194403263970445,-0.344090994250763,0.6944018620132868
body_fat_pct,0.19312502482835428,-0.2207275174263498,-0.060159142749906365,0.2576325808529072,0.27589887434974697,-0.03628331721992403,0.008943039259583521,0.7799386793546401,-0.23959019876857396,-0.09142857253703889,-0.07256844200248685,-0.17520527941067532,-0.23364274480444233,-0.013412127624515009,-0.039928305507569636,0.003968667324266879,-0.007929437782324553
hand_length,0.19527800486417812,0.20300338524435388,0.053652861926722896,-0.24600994739866774,0.0667266196194113,0.4144927644563639,-0.07108208008854075,0.09762794002608041,-0.08447734701762868,-0.060898399471618125,0.7357531157966112,-0.29967644193926296,0.1373756848064747,0.018565807274605023,-0.0596797053712082,-0.040515177065452324,-0.0035302961390002072
hand_width,0.1517927636448621,0.18989346431326262,0.027111112953276437,-0.32857075580381934,0.14924298673179234,0.6499527971294338,-0.22752897268858963,0.05116312266692035,-0.009161866132642678,0.08965995529781155,-0.556246512691873,0.07653404940989311,-0.09537870019129083,-0.019578568264566845,0.0017546340518267399,0.012913286925762168,0.008107373249771463
standing_vertical_leap,-0.20222720148483744,0.5088027667518172,0.1749062259280553,-0.016519212872755387,-0.0020833845686174203,-0.09613186933597707,0.2658817500255394,0.2733645412594432,0.16178930638328184,0.20373648939264982,-0.0007698393284744298,0.0328568537718776,-0.004383023671633257,-0.6562634235756682,-0.04789042606468586,-0.042888690596744446,0.1053259231297304
max_vertical_leap,-0.25574265629002363,0.45681255956004957,0.1388498714225949,-0.07428566854707755,-0.019358283145355155,-0.12210421501972135,0.16963254522131657,0.2506179720140922,0.07549227512771113,0.15993014712408865,-0.06575479359167807,-0.0789698960517326,-0.028561278738988435,0.7381513268426791,0.010423288447540535,-0.0690890981390845,0.04300967074255396
lane_agility_time,0.24808828931180674,-0.13033602705796837,-0.03202230904391945,0.03893398048469926,-0.15109240319617373,0.2091399464893934,0.5007140107957179,0.07738162342723381,0.6609692859085949,-0.3652207049675713,-0.0837301239446167,-0.09830598905018381,0.01831033767966948,0.06369893789288651,-0.06085232315875008,0.02195200128725578,-0.011553775670634335
modified_lane_agility_time,0.07244261023281043,-0.06781797447441415,0.05258771202964253,-0.015398917637307951,-0.13318990646245282,0.2008795740273514,0.717681953358676,-0.1676857856436514,-0.6079115754771309,0.0937440693886073,-0.0709014997478004,0.009531837144782552,-0.031071036025840843,0.010316853880499856,0.026136799737796878,-0.02506267450072512,-0.005167559728851888
three_quarter_sprint,0.2479568169092511,-0.2910769568964243,-0.048967684778982126,0.051218414369884877,-0.15049869962569037,0.06996389375096912,0.025570665128341486,0.06516954939626143,0.2449505432957553,0.8517585213505567,0.11842815176415741,0.023182945877197693,-0.0605139975975617,0.055303031332805654,-0.032927828299040604,-0.01025864081884503,0.09142676662643495
bench_press,0.04489375864365013,0.2170976617945449,0.1285214988519845,0.6629303432405499,0.48036007706133743,0.18744719859162282,0.02954332672543231,-0.37794082064290235,0.08820423069963133,0.08733519973371236,0.02032524380093497,-0.1815186748391824,-0.18527403173106732,0.0381581997034369,-0.021766745492615164,0.01378389280946247,-0.0069671974235513065
round_number,-0.038802188034953014,-0.10973854884661582,0.6603428256829458,0.16317081633467684,-0.32786025037275396,0.09116633607142331,-0.15237298419186296,0.050798207654523975,-0.07070388014002411,-0.05190682338666912,-0.03097050903270475,0.02503121250131823,0.02362432417412145,0.02724092291062694,-0.534515476746991,0.2904704431971275,-0.0389064096258277
round_pick,-0.012933785544314035,-0.211669020996608,0.1601141818217095,-0.47061969839377127,0.6571349727325849,-0.24642915001737753,0.20925563074011372,-0.11101294146469524,0.08787686821214735,0.06876767273616996,0.02020006270418884,0.032584496037031646,-0.007493486021732425,0.019720880875146233,-0.33116555449484664,0.1860526015223612,-0.024323060695355038
overall_pick,-0.029450177565164666,-0.2648132117299704,0.6582659368215842,-0.08650332763102736,0.09493039932455008,0.00555037872139841,-0.015944372370238248,0.020871840315774586,0.07417704027931231,-0.0295783109202386,0.010574815596691938,-0.03792757022322087,-0.005809251941694853,-0.025431408898106724,0.5975641295026511,-0.3332618280309923,0.04150976473750984
